UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,Id,DEST_AIRPORT_ID,Target,MONTH
"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",11425,DTH,10661,BLD,10
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,13762,NTR,10693,BNA,3
"Jet Aviation Flight Services, Inc.",12516,JMK,10581,BGR,6
"Scott Aviation, LLC  d/b/a  Silver Air",14087,PGL,12266,IAH,10
"Scott Aviation, LLC  d/b/a  Silver Air",12563,JTR,10721,BOS,8
Island Air Service,10100,A87,10056,A43,7
Air Hamburg Luftverkehrsgesellschaft mbH,11987,GRS,15167,TEB,6
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),16304,ZIH,13930,ORD,9
SkyWest Airlines Inc.,11865,GCC,14698,SBP,10
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,14447,RAC,12574,TN8,7
"Scott Aviation, LLC  d/b/a  Silver Air",15608,VLI,12173,HNL,10
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,13287,MHE,10397,ATL,10
"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",16725,NV5,14081,PGA,6
"Global Jet Luxembourg, Sa",11124,CPT,12264,IAD,2
Talofa Airways Limited,15144,TBU,14222,PPG,5
"Scott Aviation, LLC  d/b/a  Silver Air",14178,PNA,11638,FAT,7
"Jet Aviation Flight Services, Inc.",13392,MML,14320,PWK,4
Mesa Airlines Inc.,13370,MLM,10423,AUS,6
Allegiant Air,10676,BLV,10466,AZA,6
Trans States Airlines,10557,BFD,12264,IAD,2
"Seaborne Virgin Islands, Inc.",14945,SPB,14992,SSB,5
Envoy Air,12995,LIY,11150,CSG,8
Envoy Air,13102,LUF,13930,ORD,2
Trans States Airlines,13221,MDH,14783,SGF,10
Trans States Airlines,12007,GTR,10693,BNA,2
Trans States Airlines,10300,AND,14696,SBN,1
SkyWest Airlines Inc.,12255,HYS,14877,SLN,2
Envoy Air,15317,TRC,12266,IAH,4
ExpressJet Airlines LLC,15125,TAM,11140,CRP,9
Polynesian Airlines Ltd.,13826,OFU,14222,PPG,1
XTRA Airways,12180,HOG,13303,MIA,9
Trans States Airlines,11931,GLH,11259,DAL,10
Qantas Airways Ltd.,10696,BNE,12478,JFK,9
Tradewind Aviation,14400,QMN,15167,TEB,10
Envoy Air,12891,LAW,10155,ACT,8
British Airways Plc,12920,LCY,12478,JFK,8
Allegiant Air,14993,SSC,12216,HST,5
JetBlue Airways,14924,SNU,13303,MIA,10
TAG Aviation (UK) Ltd.,14767,SFJ,14259,PSM,7
Endeavor Air Inc.,15607,VLD,10397,ATL,6
Sun Country Airlines d/b/a MN Airlines,11905,GGG,10590,IFP,8
SkyWest Airlines Inc.,12519,JMS,10627,BIS,9
Air Company Yakutia,14132,PKC,10299,ANC,9
Omni Air International LLC,11332,DKR,10185,AEX,4
Allegiant Air,15211,TIK,13671,NHK,10
Sun Country Airlines d/b/a MN Airlines,11719,FNL,10590,IFP,4
Omni Air International LLC,14185,PNH,12016,GUM,7
Sun Country Airlines d/b/a MN Airlines,14960,SPS,10590,IFP,1
Ameristar Air Cargo,15825,CWF,10693,BNA,5
Sun Country Airlines d/b/a MN Airlines,12511,JLN,10590,IFP,5
XTRA Airways,11075,CMW,13303,MIA,9
Bering Air Inc.,11458,DYR,13873,OME,7
"Multi-Aero, Inc. d/b/a Air Choice One",11725,FOD,13211,MCW,2
VRG Linhas Aereas S A,11730,FOR,13204,MCO,9
United Air Lines Inc.,12845,KWA,12016,GUM,1
"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",10658,BLA,13303,MIA,1
Silver Airways,13182,MBL,13232,MDW,9
Southwest Airlines Co.,14488,RDG,13204,MCO,4
Sun Air Express LLC dba Sun Air International,12207,HRO,13244,MEM,2
XTRA Airways,14722,SCU,13303,MIA,9
Allegiant Air,10476,BAD,13304,MIB,9
Allegiant Air,14082,PGD,14259,PSM,9
SkyWest Airlines Inc.,12177,HOB,11292,DEN,10
Sun Air Express LLC dba Sun Air International,11531,ELD,13244,MEM,8
"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",15532,UXR,14081,PGA,7
Allegiant Air,15620,VOK,10615,BIF,10
Allegiant Air,14706,SC1,13700,NKX,9
Allegiant Air,14848,SKA,13891,ONT,6
Allegiant Air,15550,VAD,13087,LSV,8
Air Pacific Ltd.,11216,CXI,12173,HNL,10
Allegiant Air,11344,DMA,10559,BFI,6
Sun Air Express LLC dba Sun Air International,11684,FKL,14122,PIT,2
Hainan Airlines Company Limited,15910,XIY,12892,LAX,2
Sun Country Airlines d/b/a MN Airlines,12228,HUF,15048,SUX,10
"Multi-Aero, Inc. d/b/a Air Choice One",12412,IWD,13487,MSP,4
American Airlines Inc.,13594,MZT,14107,PHX,1
JetBlue Airways,11164,CTG,10821,BWI,1
Delta Air Lines Inc.,10758,BSB,13303,MIA,3
JetBlue Airways,14254,PSE,14843,SJU,8
Polynesian Airlines Ltd.,16647,FAQ,14222,PPG,9
Miami Air International,13506,MTO,10298,ANB,10
